547	639	555	653	941	1	1	2
639	916	653	941	1438	1	2	2
916	1399	941	1438	2118	2	2	3
1399	2062	1438	2118	2927	2	3	4
2062	2863	2118	2927	5578	3	4	4
2863	5494	2927	5578	6165	4	4	4
5494	6070	5578	6165	8235	4	4	4
6070	8124	6165	8235	9925	4	4	11
8124	9783	8235	9925	12038	4	11	12
9783	11871	9925	12038	16787	11	12	15
11871	16607	12038	16787	19881	12	15	15
16607	19693	16787	19881	23892	15	15	16
19693	23680	19881	23892	27636	15	16	19
23680	27409	23892	27636	30818	16	19	23
27409	30553	27636	30818	34392	19	23	24
30553	34075	30818	34392	37121	23	24	24
34075	36778	34392	37121	40151	24	24	25
36778	39790	37121	40151	42763	24	25	27
39790	42306	40151	42763	44803	25	27	28
42306	44327	42763	44803	45222	27	28	28
44327	44699	44803	45222	60370	28	28	28
44699	59832	45222	60370	66887	28	28	28
59832	66292	60370	66887	69032	28	28	28
66292	68347	66887	69032	71226	28	28	29
68347	70446	69032	71226	73260	28	29	30
70446	72364	71226	73260	75138	29	30	31
72364	74139	73260	75138	75641	30	31	31
74139	74546	75138	75641	76199	31	31	104
74546	74999	75641	76199	76843	31	104	204
74999	75472	76199	76843	78599	104	204	433
75472	76922	76843	78599	78985	204	433	602
76922	76938	78599	78985	79570	433	602	833
76938	77152	78985	79570	80415	602	833	977
77152	77660	79570	80415	81397	833	977	1261
77660	78065	80415	81397	82756	977	1261	1766
78065	78498	81397	82756	84124	1261	1766	2337
78498	78824	82756	84124	86013	1766	2337	3150
78824	79251	84124	86013	88371	2337	3150	3736
79251	79826	86013	88371	90309	3150	3736	4335
79826	80026	88371	90309	92844	3736	4335	5186
80026	80151	90309	92844	95124	4335	5186	5621
