547	639	555	653	941	1	1	2
639	916	653	941	1438	1	2	2
916	1399	941	1438	2118	2	2	5
1399	2062	1438	2118	2927	2	5	5
2062	2863	2118	2927	5578	5	5	5
2863	5494	2927	5578	6165	5	5	5
5494	6070	5578	6165	8235	5	5	5
6070	8124	6165	8235	9925	5	5	6
8124	9783	8235	9925	12038	5	6	8
9783	11871	9925	12038	16787	6	8	8
11871	16607	12038	16787	19881	8	8	11
16607	19693	16787	19881	23892	8	11	11
19693	23680	19881	23892	27636	11	11	12
23680	27409	23892	27636	30818	11	12	12
27409	30553	27636	30818	34392	12	12	12
30553	34075	30818	34392	37121	12	12	12
34075	36778	34392	37121	40151	12	12	12
36778	39790	37121	40151	42763	12	12	12
39790	42306	40151	42763	44803	12	12	13
42306	44327	42763	44803	45222	12	13	13
44327	44699	44803	45222	60370	13	13	15
44699	59832	45222	60370	66887	13	15	15
59832	66292	60370	66887	69032	15	15	15
66292	68347	66887	69032	71226	15	15	15
68347	70446	69032	71226	73260	15	15	15
70446	72364	71226	73260	75138	15	15	15
72364	74139	73260	75138	75641	15	15	15
74139	74546	75138	75641	76199	15	15	15
74546	74999	75641	76199	76843	15	15	35
74999	75472	76199	76843	78599	15	35	35
75472	76922	76843	78599	78985	35	35	35
76922	76938	78599	78985	79570	35	35	53
76938	77152	78985	79570	80415	35	53	53
77152	77660	79570	80415	81397	53	53	59
77660	78065	80415	81397	82756	53	59	60
78065	78498	81397	82756	84124	59	60	62
78498	78824	82756	84124	86013	60	62	70
78824	79251	84124	86013	88371	62	70	76
79251	79826	86013	88371	90309	70	76	101
79826	80026	88371	90309	92844	76	101	122
80026	80151	90309	92844	95124	101	122	153
