,Overall,China,Korea,Italy,USA
1/22/2020,555,547,1,0,1
1/23/2020,653,639,1,0,1
1/24/2020,941,916,2,0,2
1/25/2020,1438,1399,2,0,2
1/26/2020,2118,2062,3,0,5
1/27/2020,2927,2863,4,0,5
1/28/2020,5578,5494,4,0,5
1/29/2020,6165,6070,4,0,5
1/30/2020,8235,8124,4,0,5
1/31/2020,9925,9783,11,2,6
2/1/2020,12038,11871,12,2,8
2/2/2020,16787,16607,15,2,8
2/3/2020,19881,19693,15,2,11
2/4/2020,23892,23680,16,2,11
2/5/2020,27636,27409,19,2,12
2/6/2020,30818,30553,23,2,12
2/7/2020,34392,34075,24,3,12
2/8/2020,37121,36778,24,3,12
2/9/2020,40151,39790,25,3,12
2/10/2020,42763,42306,27,3,12
2/11/2020,44803,44327,28,3,13
2/12/2020,45222,44699,28,3,13
2/13/2020,60370,59832,28,3,15
2/14/2020,66887,66292,28,3,15
2/15/2020,69032,68347,28,3,15
2/16/2020,71226,70446,29,3,15
2/17/2020,73260,72364,30,3,15
2/18/2020,75138,74139,31,3,15
2/19/2020,75641,74546,31,3,15
2/20/2020,76199,74999,104,3,15
2/21/2020,76843,75472,204,20,35
2/22/2020,78599,76922,433,62,35
2/23/2020,78985,76938,602,155,35
2/24/2020,79570,77152,833,229,53
2/25/2020,80415,77660,977,322,53
2/26/2020,81397,78065,1261,453,59
2/27/2020,82756,78498,1766,655,60
2/28/2020,84124,78824,2337,888,62
2/29/2020,86013,79251,3150,1128,70
3/1/2020,88371,79826,3736,1694,76
3/2/2020,90309,80026,4335,2036,101
3/3/2020,92844,80151,5186,2502,122
3/4/2020,95124,80271,5621,3089,153
